編號,器材名稱 ,器材廠牌 ,器材型號 ,審驗合格標籤,送審廠商 ,廢止日期 
1,多媒體機上盒  ,安博盒子 U BOX,S900 ProBT ,CCAH16LP3780T9 ,三麗科技開發股份有限公司 ,20171201 
2,多媒體機上盒(Wifi/Bluetooth) ,Daily 購(安博),K9Pro_16-TW ,CCAH16LP3570T1 ,得立有限公司 ,20180326 
3,智慧型網路機上盒(具WiFi/Bluetooth) ,TBOX ,KK-200BT ,CCAK17LP1930T4 ,憶萱數位科技有限公司 ,20180402 
4,千尋盒子 ,匯景 ,Qbox4 ,CCAH17LP3750T8 ,五元素科技有限公司 ,20180409 
5,千尋盒子 ,匯景 ,Qbox4 ,CCAH17LP3760T1 ,伊瑪格科技有限公司 ,20180412 
6,多媒體機上盒(BT+WIFI) ,安博科技 ,K9Pro_16-TW ,CCAJ17LP9221T5 ,盛智貿易有限公司 ,20180420 
7,多媒體機上盒(BT+WIFI) ,安博科技 ,I900  ,CCAJ17LP9580T7 ,盛智貿易有限公司 ,20180420 
8,OVO-電視盒(WIFI+BT)  ,OVO ,OVO-B6 ,CCAJ17LP99F0T4 ,展雋創意股份有限公司 ,20180504 
9,OVO電視盒 (WIFI+BT) ,OVO ,OVO-M1 ,CCAJ17LP8271T2 ,展雋創意股份有限公司 ,20180516 
10,小七盒子無線網路電視機上盒 ,小七科技 ,H3-GX30  ,CCAJ16LP3560T2 ,天下科技貿易有限公司 ,20180604 
11,多媒體機上盒(BT+WIFI) ,安博科技 ,S900 ProBT ,CCAJ17LP9220T3 ,盛智貿易有限公司 ,20180702 
12,千尋盒子5 (網絡多媒體播放器)  ,花生傳媒 ,QBOX-V ,CCAE18LP0430T5 ,五元素科技有限公司 ,20180806 
13,千尋盒子 ,匯景 ,QBOX-III ,CCAH16LP1310T1 ,五元素科技有限公司 ,20180808 
14,千尋生態機上盒 ,匯景 ,Q1 ,CCAH16LP1740T0 ,五元素科技有限公司 ,20180808 
15,千尋盒子  ,匯景 ,QBOX2-I ,CCAE15LP1640T0 ,五元素科技有限公司 ,20180813 
16,Miier 無線智慧電視盒 PLUS  ,Miier  ,Miier-BA02 ,CCAJ17LP0520T9 ,禾展數位股份有限公司 ,20180815 
17,千尋盒子5 (網絡多媒體播放器)  ,花生傳媒 ,QBOX-V ,CCAE18LP0440T8 ,伊瑪格科技有限公司 ,20181018 
18,安卓電視盒(WLAN)  ,智博數位 ,MX-01 ,CCAJ15LP0930T2 ,智博數位有限公司 ,20181102
19,無線網路機上盒 ,NOWlink ,N1 ,CCAJ17LP7160T1 ,中華聯網寬頻股份有限公司,20181102 
20,多媒體機上盒 ,安博科技 ,X900 ,CCAJ18LP1C20T1 ,盛智貿易有限公司 ,20181114 
21,Fun TV WIFI歡樂盒子機上盒 ,Fun TV ,Fun 1 ,CCAJ17LP3200T6 ,翔耀電腦資訊行 ,20181121 
22,無線智慧機上盒 ,5FNF ,if-BX17 ,CCAJ17LP3360T2 ,五元素科技有限公司 ,20181121 
23,電視多媒體接收器(WIFI)  ,UPMOST ,ATV305 ,CCAJ17LP4911T5 ,宏亮科技股份有限公司 ,20181121 
24,多媒體播放器(內建wifi 功能) ,Rabbits+ ,RTB-RK10 ,CCAH16LP3470T7 ,洛承有限公司 ,20181219 
25,QBTV 數位電視機上盒 ,QBTV ,QBTVTW 一代 ,CCAJ18LP1020T2 ,博司數位串流媒體工作室 ,20181224 
26,Fun TV WIFI+BT(藍牙)歡樂盒子機上盒 ,Fun TV ,Fun TV WIFI BT ,CCAJ17LP9290T1 ,時代 3C 維修行 ,20181225 
27,數位機上盒 ,家護保 ,MX PRO II ,CCAJ18LP0B20T5 ,訊連貿易有限公司 ,20190123 
28,數位機上盒(具WiFi/Bluetooth功能) ,千諾數位 ,千諾channel ,CCAK18LP0070T9 ,千諾數位國際有限公司 ,20190304 
29,小米盒子 ,小米 ,MDZ-20-AA ,CCAJ18LP2310T3 ,伊瑪格科技有限公司 ,20190625 
30,普視網路播放器(內建Bluetooth/Wi-Fi),PVBOX ,PRO-TW ,CCAH18LP5010T2 ,銘淳國際有限公司 ,20190703 
31,易播電視盒 ,EVPAD ,EVPAD-S300 ,CCAH18LP3040T1 ,伯諾科技股份有限公司 ,20190902 
32,易播電視盒 ,EVPAD ,EVPAD-SMART ,CCAH18LP3670T5 ,亞易科技有限公司 ,20190902 
33,多媒體機上盒 ,安博科技 ,X950 ,CCAH18LP3790T2 ,台灣安博企業有限公司 ,20190903 
34,多媒體網路機上盒  ,MX ,mini ,CCAJ18LP4131T0 ,正惠實業有限公司 ,20190905 
35,網路播放器  ,創怡 ,SVOD-H3418 ,CCAE15LP2920T8 ,創怡網路科技股份有限公司 ,20190918 
36,網路智慧電視盒 ,Ergotech ,MD3640 ,CCAH17LP1630T1 ,人因科技股份有限公司 ,20190924 
37,android多媒體智慧盒 ,彩虹奇機 ,UHD-G101 ,CCAJ16LP3341T3 ,喬帝科技股份有限公司 ,20190927 
38,Wifi+藍芽網路多媒體機上盒 ,夢想盒子 ,DREAM TV ,CCAJ18LP4320T3 ,益誠資訊企業社 ,20190927 
39,易播電視盒 ,EVPAD ,EVPAD-3R ,CCAO19LP0090T1 ,亞易科技有限公司 ,20191001 
40,4K高清智能機上盒  ,無錫路通 ,GDHMC200-1010M ,CCAL18LP1370T0 ,瑪莉購有限公司 ,20191021 
41,網路電視盒-2.4/5GHz/藍牙 ,PX ,OTT-4216 ,CCAB18LP1580T2 ,大通電子股份有限公司 ,20191023 
42,智慧電視盒(WiFi+BT) ,RockTek ,RT-X3 ,CCAJ19LP59F0T0 ,雷爵科技股份有限公司 ,20191113 
43,數位網路電視盒-2.4/5GHz/藍牙 ,PX ,OTT-8216D ,CCAB18LP1590T2 ,大通電子股份有限公司 ,20191114 
44,android多媒體智慧盒 ,彩虹奇機 ,UHD-G100 ,CCAJ16LP3340T1 ,喬帝科技股份有限公司 ,20191119 
45,易播電視盒PLUS精裝版 ,EVPAD ,EVPAD-HM-JZB ,CCAH18LP3070T7 ,恒美企業有限公司 ,20191203 
46,android多媒體智慧盒 ,彩虹奇機 ,S200 ,CCAJ16LP3343T7 ,喬帝科技股份有限公司 ,20191210 
47,媒體撥放器 ,鑫誠 ,s905x ,CCAJ18LP1FF0T2 ,鑫誠國際精密有限公司 ,20200109 
48,Wifi+藍芽網路多媒體機上盒 ,夢想盒子 ,Dream TV Innovation ,CCAJ19LP0E50T8 ,益誠資訊企業社 ,20200109 
49,智能網路機上盒  ,Skyworth ,T2 ,CCAE18LP0200T1 ,濬陽國際有限公司 ,20200423 
50,易播視訊盒(內建無線裝置) ,EVBOX ,EVBOX-3R ,CCAO19LP0380T7 ,亞易科技有限公司 ,20200518 
51,android多媒體智慧盒 ,彩虹奇機 ,S100 ,CCAJ16LP3342T5 ,喬帝科技股份有限公司 ,20200616 
52,多媒體機上盒 ,安博科技 ,X950 ,CCAH19LP0410T1 ,盛智貿易有限公司 ,20200722 
53,多媒體機上盒 ,移動時代 ,M6 ,CCAK19LP0170T8 ,樂狗科技國際有限公司 ,20200807 
54,Wifi+藍芽網路多媒體機上盒 ,DreamTV ,Evolution ,CCAJ19LP7E10T5 ,益誠資訊有限公司 ,20201021 
55,智慧型機上盒 ,HERAN ,HAB-R01P2 ,CCAK19LP0961T0 ,禾聯碩股份有限公司 ,20201119 
56,多媒體播放器 ,EVBOX 易播 ,EVBOX-5PRO ,CCAP20LP1020T7 ,易璽企業有限公司 ,20201217 
57,數位機上盒  ,BANDOTT ,BA301 ,CCAL18LP2440T0 ,富連網股份有限公司 ,20210127 
58,QBTV 數位電視機上盒 ,博思數位 ,BOS_QBTV ,CCAP19LP4980T9 ,博思數位串流媒體有限公司 ,20210316 
59,數位機上盒 (WiFi + BT) ,Hitron ,ATB-1806 ,CCAI19LP1730T5 ,仲琦科技股份有限公司 ,20210319 
60,多媒體機上盒 ,安博科技 ,X10 PRO MAX ,CCAP20LP1200T9 ,台灣安博企業有限公司 ,20210407 
61,網路多媒體雲盒 ,Qtv ,ABOX-0102-002 ,CCAK20LP0100T2 ,發條橘子科技股份有限公司  ,20210409 
62,台灣雷石VOD雲端電腦點歌機主機 ,瘋潮唱 ,瘋潮唱8001TWS ,CCAB20LP1410T0 ,台灣雷石娛樂有限公司  ,20210503 
63,數位機上盒 ,MOD 中華電信 ,MOD 504A ,CCAH20LPA242T0 ,中華系統整合股份有限公司 ,20210519 
64,雲端多媒體播放機 (Wifi) ,KALATECH ,HD-256 ,CCAB14LP136AT7 ,數碼方舟國際股份有限公司 ,20210628 
65,影音播放器(內建Wi-Fi功能) ,PVBOX ,P4 ,CCAH20LP3200T4 ,元博科技資訊有限公司 ,20210712 